Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants 
Issue#5397 Issue-5377: Implemented `available()` for ReaderInputStream,"type=enhancement, status=triaged, package=io, cla: yes, P3",Marcono1234,,"1c3t3a: This PR adds an implementation of available() for the ReaderInputStream class. The implementation follows the suggestions of issue #5377.  Marcono1234: Implementing this method is rather tricky, I have left some review comments which are hopefully helpful for you.
Maybe it would be good to wait for feedback from some of the maintainers to know if implementing this method is really worth it. It might be good to add some tests (possibly with the example code snippets I provide) to CharSourceTester.java (I hope that is the right test class).
And to add this change also to the Android version of ReaderInputStream.  1c3t3a: Allright, thank you very much for the detailed feedback! We implement a first version of what you described. We added a flushing case were the encoder gets flushed and we also now check for the CoderResult we receive when calling encode(). But running your test always produces an OVERFLOW when encoding to the buffer, even if we enlarged it with calling startDraining(). For clarity we committed our latest code and plan  to work on this in the next days.  google-cla: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter. We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request. Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project). ℹ️ Googlers: Go here for more info.  kariustobias: @googlebot I consent.  Marcono1234: Thanks! I think this looks quite good now, though I am not a maintainer of this project and they might have other requirements. Maybe it would be good to have a test in CharSourceTester like the following: For the current test you added, it might be easier to have the more sophisticated tests which rely on certain buffer sizes in a separate test class (ReaderInputStreamTest) so that they can specify the buffer size (and CodingErrorAction if necessary) directly for ReaderInputStream instead of relying on implementation details of other classes.  Marcono1234: I am not sure if this loop is a good idea, reading char by char until the buffer is full is rather inefficient. Though on the other hand only reading a single char would also be rather inefficient. Maybe a compromise would be to read (while ready() == true) Math.min(charBuffer.remaining(), X) where X would be some fixed value, e.g. 64 (which could be adjusted later if performance tests indicate that this is a bad value). It is really unfortunate that Reader.ready() does not make any guarantees regarding whether the other read methods will block. It might also be good to add a comment to explain why calling read() in a loop is necessary instead of calling read(...), i.e. ready() only makes guarantees for read().  Marcono1234: Though as additional optimization you could check whether the class of the reader is known to never block, i.e. StringReader (but to be safe check getClass() == instead of instanceof because StringReader makes no guarantees whether it blocks and maybe someone wrote a blocking subclass) and Guava's CharSequenceReader. And in that case use the more efficient read(...) methods instead.  1c3t3a: ath.min(charBuffer.remaining(), X) Yeah that's a good question. Implementing the Math.min(charBuffer.remaining(), X) approach could lead to available() being blocked... on the other hand reading char by char is horribly inefficient.  Marcono1234: Ah, sorry my comment was not that clear; I meant that the Math.min(charBuffer.remaining(), X) limit should be used as additional condition for the read() loop, i.e. reading a single char at a time. This is still pretty inefficient, but at least not as inefficient as filling the complete buffer, especially if the caller might not even be interested in that many bytes.  Marcono1234: Sorry, my previous comment was incorrect and this can be removed. The documentation says that only underflow or overflow is possible, which makes sense since flushing is unrelated to input.  Marcono1234: Though on second thought leaving this check in would not hurt either and would protect against CharsetEncoder implementations whose implFlush​ method violates the contract.
However, if you decide to leave this in, you would need to adjust the comment.  cgdecker: I haven't looked at the code yet, but I'm not really sure this is worth doing given that it sounds like it's not especially simple to implement. I have some questions about the reason for wanting this in the first place as well, which I asked on the other issue.  ",2021-02-02 14:41:32,,4,2,4
Issue#5400 Add `@CheckReturnValue` to some `com.google.common.cache` APIs.,cla: yes,,,"copybara-service: Add @CheckReturnValue to some com.google.common.cache APIs. RELNOTES=Add @CheckReturnValue to some com.google.common.cache APIs. 



              The text was updated successfully, but these errors were encountered:
              ",2021-02-06 15:15:37,2021-02-06 15:43:45,0,0,0
Issue#5401 change in peek() method of PeekingImpl class.,cla: no,,,"NihalAgarwal: Added validation, if the iterator.hasNext() return true, then only we change the value of hasPeeked to true, because before what we are doing is without checking iterator contains some value or not we mark hasPeeked to true in peek() method and, if the user call hasNext() method of PeekingImpl class immediately after calling peek() method, it will always return true. 



              The text was updated successfully, but these errors were encountered:
              google-cla: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it. ℹ️ Googlers: Go here for more info.  NihalAgarwal:  google-cla: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for all the commit author(s) or Co-authors.  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.
In order to pass this check, please resolve this problem and then comment @googlebot I fixed it.. If the bot doesn't comment, it means it doesn't think anything has changed. ℹ️ Googlers: Go here for more info.  NihalAgarwal:  google-cla: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for all the commit author(s) or Co-authors.  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.
In order to pass this check, please resolve this problem and then comment @googlebot I fixed it.. If the bot doesn't comment, it means it doesn't think anything has changed. ℹ️ Googlers: Go here for more info.  NihalAgarwal:  google-cla: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for all the commit author(s) or Co-authors.  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.
In order to pass this check, please resolve this problem and then comment @googlebot I fixed it.. If the bot doesn't comment, it means it doesn't think anything has changed. ℹ️ Googlers: Go here for more info.  NihalAgarwal:  google-cla: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for all the commit author(s) or Co-authors.  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.
In order to pass this check, please resolve this problem and then comment @googlebot I fixed it.. If the bot doesn't comment, it means it doesn't think anything has changed. ℹ️ Googlers: Go here for more info.  NihalAgarwal:  google-cla: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for all the commit author(s) or Co-authors.  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.
In order to pass this check, please resolve this problem and then comment @googlebot I fixed it.. If the bot doesn't comment, it means it doesn't think anything has changed. ℹ️ Googlers: Go here for more info.  ",2021-02-09 08:16:53,2021-02-09 09:47:41,3,1,1
Issue#5402 change in peek() method of PeekingImpl class.,cla: no,,,"NihalAgarwal: Added validation, if the iterator.hasNext() return true, then only we change the value of hasPeeked to true, because before what we are doing is without checking iterator contains some value or not we mark hasPeeked to true in peek() method and, if the user call hasNext() method of PeekingImpl class immediately after calling peek() method, it will always return true.  google-cla: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for all the commit author(s) or Co-authors.  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.
In order to pass this check, please resolve this problem and then comment @googlebot I fixed it.. If the bot doesn't comment, it means it doesn't think anything has changed. ℹ️ Googlers: Go here for more info.  NihalAgarwal:  google-cla: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for all the commit author(s) or Co-authors.  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.
In order to pass this check, please resolve this problem and then comment @googlebot I fixed it.. If the bot doesn't comment, it means it doesn't think anything has changed. ℹ️ Googlers: Go here for more info.  NihalAgarwal:  google-cla: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for all the commit author(s) or Co-authors.  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.
In order to pass this check, please resolve this problem and then comment @googlebot I fixed it.. If the bot doesn't comment, it means it doesn't think anything has changed. ℹ️ Googlers: Go here for more info.  ",2021-02-09 10:28:04,2021-02-09 10:46:56,1,1,1
Issue#5403 change in peek() method of PeekingImpl class,"type=enhancement, package=collect, cla: yes, P3",netdpb,netdpb,"NihalAgarwal: Added validation, if the iterator.hasNext() return true, then only we change the value of hasPeeked to true, because before what we are doing is without checking iterator contains some value or not, we mark hasPeeked to true in peek() method and, if the user call hasNext() method of PeekingImpl class immediately after calling peek() method, it will always return true.  netdpb: Is there a particular bug you're fixing here?  netdpb: I'm not convinced this change makes a difference. hasPeeked starts out false inside this block.
If iterator.hasNext() returns false, then iterator.next() on the next line will throw, and even in the old code hasPeeked will stay false.
If iterator.hasNext() returns true, then hasPeeked will become true in the old code as well. So I think in all cases the returned value and the state is the same, but your change introduces a new branch to the code where there wasn't one before. So I'm not sure your change simplifies the code or fixes a logic bug. What do you think?  NihalAgarwal: In one of the case when iterator return null (no more elements left) and calling peek() method will return null and set hasPeeked value to true. In every case, either iterator has some value or not, hasPeeked  always set to true in old code. Immediately calling hasNext()afterpeek()will always result to true, and hasNext() method is made to check whether iterator or peek contains some element or not.  netdpb: iterator.next() doesn't return null when there are no more elements left; it throws NoSuchElementException. That means that in the old code, hasPeeked = true won't be reached when there are no more elements. Right?  netdpb: I'm going to close this for now, as I don't think it's adding value. Please reopen if you have more to discuss!  ",2021-02-09 11:12:47,2021-02-12 20:49:42,1,1,2
Issue#5404 Assign or use the result of a primitive wrapper method invocation (it will soon be an ERROR to ignore it).,cla: yes,,,"copybara-service: Assign or use the result of a primitive wrapper method invocation (it will soon be an ERROR to ignore it). RELNOTES=N/A 



              The text was updated successfully, but these errors were encountered:
              ",2021-02-10 17:44:35,2021-02-10 18:08:01,0,0,0
Issue#5406 Fix compatibility between the cache compute methods and a load.,cla: yes,,,"copybara-service: Fix compatibility between the cache compute methods and a load. Fixes #5348
Fixes #5342
Fixes #2827
Resolves underlying cause of #2108 RELNOTES=Fix compatibility between the cache compute methods and a load. 



              The text was updated successfully, but these errors were encountered:
              ",2021-02-12 15:47:18,2021-02-12 16:09:15,0,0,0
Issue#5407 chore: remove deprecated method Class#newInstance(),"type=other, cla: yes, P2",,cpovirk,"surajdhamecha: 
No description provided.
  surajdhamecha: @cpovirk ,PTAL  surajdhamecha: @netdpb, PTAL  ",2021-02-12 21:10:30,2021-02-16 03:24:58,1,3,2
Issue#5409 Migrate off deprecated Class#newInstance().,cla: yes,,,copybara-service: Migrate off deprecated Class#newInstance(). Fixes #5407 RELNOTES=n/a  ,2021-02-16 03:03:29,2021-02-16 03:24:58,0,0,0
Issue#5412 This is causing upper bounds errors in google-http-java-client,cla: yes,,,copybara-service: This is causing upper bounds errors in google-http-java-client RELNOTES=update error prone annotations  ,2021-02-19 20:49:53,2021-02-19 21:12:45,0,0,0
Issue#5414 Delete hardcoded test .gwt.xml files.,cla: yes,,,"copybara-service: Delete hardcoded test .gwt.xml files. As noted in CL 335869875, our open-source tests are already not looking at the contents of these files. Tested:
( cd guava-gwt && JAVA_HOME=/usr/local/buildtools/java/jdk mvn clean install -Dtest.include=DoesNotMatchAnything -Dmaven.javadoc.skip )
RELNOTES=n/a  ",2021-02-23 16:50:58,2021-02-23 17:33:12,1,14,1
Issue#5415 Remove redundant `else` blocks.,cla: yes,,,"copybara-service: Remove redundant else blocks. Fixes #3974. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-02-24 16:54:23,2021-02-24 17:19:13,1,6,1
Issue#5416 Add `@DoNotCall` to the mutator methods on immutable types,cla: yes,,,"copybara-service: Add @DoNotCall to the mutator methods on immutable types RELNOTES=Add @DoNotCall to the mutator methods on immutable types 



              The text was updated successfully, but these errors were encountered:
              ",2021-02-24 20:27:40,2021-02-24 20:49:30,0,0,0
Issue#5417 Added EvictingBlockingQueue implementation. Closes #3882,"type=addition, package=concurrent, cla: yes, P4",ryucc,,"noamgrinch: Initial commit for an EvictingBlockingQueue.
Please share your input.  google-cla: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it. ℹ️ Googlers: Go here for more info.  noamgrinch: @googlebot I signed it!  noamgrinch: Fixing concurrency bugs regarding Remove() and will update pull request.  noamgrinch: Done. Can you please review? Thanks!  ryucc: Google style guide 3.3.3 Also I'm new to github. Do we usually comment on style stuff?  noamgrinch: Fixed.  ryucc: https://google.github.io/styleguide/javaguide.html#s5.2.4-constant-names Constants should be uppercase snake?  noamgrinch: The property was removed.  ",2021-02-25 09:44:16,,6,2,3
Issue#5418 Update Public Suffix data.,cla: yes,,,"copybara-service: Update Public Suffix data. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-02-25 13:41:41,2021-02-25 14:26:13,1,2,1
Issue#5420 Internal change.,cla: yes,,,"copybara-service: Internal change. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-02-26 17:55:55,2021-02-26 19:31:04,0,0,0
Issue#5421 Internal change.,cla: yes,,,"copybara-service: Internal change. 



              The text was updated successfully, but these errors were encountered:
              ",2021-02-26 20:51:32,2021-02-26 21:35:55,1,2,1
Issue#5422 update enforcer-rule,cla: yes,,,copybara-service: update enforcer-rule RELNOTES=n/a  ,2021-03-01 14:42:27,2021-03-01 15:05:49,0,0,0
Issue#5423 update JUnit,cla: yes,,,"copybara-service: update JUnit RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-01 15:09:45,2021-03-01 15:32:14,1,2,1
Issue#5424 Add `@DoNotCall` to a few more Guava APIs that are guaranteed to always throw `UnsupportedOperationException`.,cla: yes,,,copybara-service: Add @DoNotCall to a few more Guava APIs that are guaranteed to always throw UnsupportedOperationException. RELNOTES=n/a  ,2021-03-01 23:46:27,2021-03-02 00:08:31,1,10,1
Issue#5425 Create a CI build and test using GitHub Actions.,"type=other, status=obsolete, cla: yes, P3",,cgdecker,"carldea: This will run tests and utilize GitHub's CI infrastructure.  cgdecker: Thanks for the PR. This is something we were already planning on doing/had in progress, and the config has been submitted in 2cc42ec.  ",2021-03-02 20:46:34,2021-03-16 17:13:41,1,1,3
Issue#5426 ToStringHelper: omitEmptyValues() - Benchmark updates,cla: yes,,,"copybara-service: ToStringHelper: omitEmptyValues() - Benchmark updates RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-03 22:21:45,2021-03-03 22:47:56,1,2,1
Issue#5427 Not a tracked issue- Refactor TrieParser,cla: no,,,"olofeldre: This branch / commit contains a modified version of TrieParser,
which does not use LinkedList, and it has been replaced with ArrayDeque
from the java standard library. ALL tests pass.  google-cla: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it. ℹ️ Googlers: Go here for more info.  olofeldre: This pull request request was a mistake. I only intended to do pull request to a fork of your repo. Please reject.  ",2021-03-04 09:46:59,2021-03-04 09:50:55,1,1,1
Issue#5428 Move Java-7-VM warning from `MoreObjects` to `Preconditions`.,cla: yes,,,"copybara-service: Move Java-7-VM warning from MoreObjects to Preconditions. RELNOTES=Increased the aggressiveness of Guava 30.1's warning log message for running guava-android under a Java 7 VM. (Android VMs are unaffected.) If the warning itself causes you trouble, you can eliminate it by silencing the logger for com.google.common.base.Preconditions (which is used only for this warning). This warning prepares for removing support for Java 7 in 2021. Please report any problems. We have tried to make the warning as safe as possible, but anytime a common library logs, especially as aggressively as we do in this new release, there is the potential for NullPointerException or even deadlock. (To be clear, Guava will not log under Java 8 or Android, but it will under Java 7.)  ",2021-03-09 01:39:16,2021-03-09 02:01:38,1,4,1
Issue#5429 Issue #2394 - Replace LinkedList with ArrayDeque,cla: yes,falconetpt,,"antonlovstrom: #2394 Refactor TrieParser, LineReader, and CacheLoaderTest by replacing LinkedList with ArrayDeque. LinkedList still occur at a few places where it does not make sense to replace it.  google-cla: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter. We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request. Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project). ℹ️ Googlers: Go here for more info.  olofeldre: @googlebot I consent.  google-cla: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter. We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request. Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project). ℹ️ Googlers: Go here for more info.  CarolineLarsen: @googlebot I consent.  google-cla: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter. We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request. Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project). ℹ️ Googlers: Go here for more info.  google-cla: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter. We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request. Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project). ℹ️ Googlers: Go here for more info.  robinwanlund: @googlebot I consent.  JoakimSkoog97: @googlebot I consent.  cgdecker: Thanks for the PR. Note that we can't merge PRs directly because our process involves making changes internally and then syncing those changes out to GitHub, so I've made this change (with a few minor modifications) internally. The commit will be attributed to you when it's synced out.  ",2021-03-10 12:54:01,2021-03-11 21:31:51,1,6,7
Issue#5430 Replace LinkedList with ArrayDeque.,cla: yes,,,"copybara-service: Replace LinkedList with ArrayDeque. Refactor TrieParser, LineReader, and CacheLoaderTest by replacing LinkedList with ArrayDeque. Fixes #5429 Co-authored-by: Olof Gren olofthegren@gmail.com
Co-authored-by: Caroline Larsen e.caroline.larsen@gmail.com
Co-authored-by: Joakim Skoog joakim.skoog.97@gmail.com
Co-authored-by: Robin Wänlund robin.wanlund@hotmail.com
RELNOTES=n/a  ",2021-03-11 21:09:38,2021-03-11 21:31:51,0,0,0
Issue#5431 Internal change.,cla: yes,,,copybara-service: Internal change. RELNOTES=n/a  ,2021-03-12 00:29:29,2021-03-12 00:50:43,1,2,1
Issue#5432 improve documentation,cla: yes,eamonnmcmanus,,"Eclixal: Improved documentation of the Platform class  eamonnmcmanus: Thanks!  eamonnmcmanus: Nitpick: can you add a period at the end of this sentence, and the sentence on the next method?  eamonnmcmanus: Typo: s/is is/if it is/  ",2021-03-16 10:08:20,2021-03-17 16:35:56,3,1,2
Issue#5433 Test 349595563,cla: no,,,"baloxhsahb: 
No description provided.
 



              The text was updated successfully, but these errors were encountered:
              google-cla: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it. ℹ️ Googlers: Go here for more info.  eamonnmcmanus: This looks like an experiment of some sort? I'm going to close it; feel free to reopen with a description of what the PR is for.  ",2021-03-17 13:12:53,2021-03-18 14:05:17,55,302,20
Issue#5434 Add documentation to a couple of `Platform` methods.,cla: yes,,,copybara-service: Add documentation to a couple of Platform methods. Closes #5432. RELNOTES=n/a  ,2021-03-17 16:12:10,2021-03-17 16:35:56,1,2,1
Issue#5436 Prepare for release 30.1.1.,cla: yes,,,"copybara-service: Prepare for release 30.1.1. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-19 15:53:27,2021-03-19 16:16:33,1,2,1
"Issue#5437 Document that we test under both JDK8 and JDK11 (and that we do that for the Android flavor, too).",cla: yes,,,"copybara-service: Document that we test under both JDK8 and JDK11 (and that we do that for the Android flavor, too). RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-19 16:17:42,2021-03-19 16:39:10,1,1,1
Issue#5440 Internal change,cla: yes,,,"copybara-service: Internal change RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-22 12:58:23,2021-03-22 16:33:17,1,1,1
Issue#5441 Internal change.,cla: yes,,,"copybara-service: Internal change. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-23 15:31:33,2021-03-23 16:14:01,1,12,1
Issue#5442 Allow usages of java.util.Objects.requireNonNull in the backport.,cla: yes,,,"copybara-service: Allow usages of java.util.Objects.requireNonNull in the backport. Relevant to #5269 in that it's an exception -- a case in which we are willing to use a Java 7 API because we know this particular API is safe to use under Android. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-23 15:32:58,2021-03-23 15:54:31,1,1,1
Issue#5443 Clarify docs about annotation-only dependencies.,cla: yes,,,"copybara-service: Clarify docs about annotation-only dependencies. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-23 15:56:01,2021-03-23 16:22:56,1,1,1
"Issue#5444 Set `-source 8 -target 8` in the open-source build, and remove Java8Usage.",cla: yes,,,"copybara-service: Set -source 8 -target 8 in the open-source build, and remove Java8Usage. This is largely a rollback of the original Java8Usage change, but I've modified it in a few ways: Fixes #5269  ",2021-03-23 18:45:02,2021-03-23 19:14:28,1,7,1
"Issue#5445 Create Dependabot config, only for GitHub Actions for now.",cla: yes,,,"copybara-service: Create Dependabot config, only for GitHub Actions for now. RELNOTES=n/a  ",2021-03-23 23:53:48,2021-03-24 01:21:49,0,0,0
Issue#5446 Add `@Nullable` to the bound of `Supplier`.,cla: yes,,,"copybara-service: Add @Nullable to the bound of Supplier. RELNOTES=base: Marked the bound of the type parameter in Supplier as @Nullable -- including in guava-android. TODO(cpovirk): In the release, consider either reverting this or making sure that we've adopted such annotations thoroughly.  ",2021-03-24 14:13:20,2021-03-24 23:43:50,1,7,1
Issue#5447 Belatedly remove the GWT-only overloads of `Futures.catching` and `catchingAsync` that let callers omit the `Executor`.,cla: yes,,,"copybara-service: Belatedly remove the GWT-only overloads of Futures.catching and catchingAsync that let callers omit the Executor. We removed these long ago from the non-GWT versions. RELNOTES=util.concurrent: Removed the GWT-only overloads of Futures.catching and catchingAsync that let callers omit the Executor. This matches a change made years ago to the non-GWT API. 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-24 22:59:08,2021-03-24 23:23:52,0,0,0
Issue#5448 Update Public Suffix data.,cla: yes,,,"copybara-service: Update Public Suffix data. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-25 00:55:38,2021-03-25 01:17:45,0,0,0
Issue#5452 Mark `Abstract*.delegate` methods in `graph` as package-private.,cla: yes,,,"copybara-service: Mark Abstract*.delegate methods in graph as package-private. The method was exposing the package-private BaseGraph type through the public type ImmutableGraph. (But it was exposing it only as protected, and no one could subclass ImmutableGraph outside the package. So this should be mostly academic.) Fixes #5450 RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-29 17:12:02,2021-03-29 17:37:42,1,12,1
Issue#5453 Move dependabot.yml out of workflows.,cla: yes,,,"copybara-service: Move dependabot.yml out of workflows. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-29 17:35:50,2021-03-29 17:59:31,1,1,1
Issue#5454 Remove `protected` from some more members in `graph`.,cla: yes,,,"copybara-service: Remove protected from some more members in graph. For now, I've left the methods of the original report (#5451) alone: So most of the changes in this CL have no effect on even the API visible in Javadoc. However, a few changes do show up in Javadoc: StandardNetwork: StandardValueGraph: As in #5450, this makes essentially no difference to users other than the cleaner Javadoc: The Immutable* types are not subclassable outside the package, so no one could call the protected methods, anyway. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-29 17:43:34,2021-03-29 18:12:49,0,0,0
"Issue#5455 Introduce transitional package-private nullness annotations, and apply them to `Supplier`.",cla: yes,,,"copybara-service: Introduce transitional package-private nullness annotations, and apply them to Supplier. RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-03-30 14:30:35,2021-03-30 14:50:38,1,6,1
Issue#5458 Bump project.version from HEAD-android-SNAPSHOT to 30.1.1-android in /android/guava-bom,"cla: yes, dependencies, java",,,"dependabot: Bumps project.version from HEAD-android-SNAPSHOT to 30.1.1-android.
Updates guava from HEAD-android-SNAPSHOT to 30.1.1-android Sourced from guava's releases. ... (truncated) Updates guava-testlib from HEAD-android-SNAPSHOT to 30.1.1-android Sourced from guava-testlib's releases. ... (truncated) Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase. You can trigger Dependabot actions by commenting on this PR: 



              The text was updated successfully, but these errors were encountered:
              cpovirk: @dependabot close Argh: I had seen the security report earlier today in https://github.com/google/guava/security/dependabot. I'd closed it (so it's now under
https://github.com/google/guava/security/dependabot/guava-bom/pom.xml/com.google.guava:guava/closed), and I'd marked it with ""This alert is inaccurate or incorrect,"" but that doesn't seem to have stopped Dependabot from generating a PR. Anyway, Dependabot appears to use a different version ordering than Maven's: Dependabot considers the non-numeric ""HEAD-SNAPSHOT"" to be lower than the numeric versions. (Hopefully I'm reading the Maven docs right; I haven't actually run a test with their code.) It sounds like dependabot/dependabot-core#3274 might fix that problem (assuming no perverse characters in version numbers), so I'm just telling Dependabot to close this particular PR. If Dependabot continues opening such PRs (especially if it does so after the fix to dependabot/dependabot-core#3274), we can try something more aggressive.  cpovirk: Additional notes:  ",2021-03-31 20:52:55,2021-03-31 21:06:18,1,1,1
Issue#5459 Bump project.version from HEAD-jre-SNAPSHOT to 30.1.1-jre in /guava-bom,"cla: yes, dependencies, java",,,"dependabot: Bumps project.version from HEAD-jre-SNAPSHOT to 30.1.1-jre.
Updates guava from HEAD-jre-SNAPSHOT to 30.1.1-jre Sourced from guava's releases. ... (truncated) Updates guava-gwt from HEAD-jre-SNAPSHOT to 30.1.1-jre Sourced from guava-gwt's releases. ... (truncated) Updates guava-testlib from HEAD-jre-SNAPSHOT to 30.1.1-jre Sourced from guava-testlib's releases. ... (truncated) Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase. You can trigger Dependabot actions by commenting on this PR:  cpovirk: @dependabot close See #5458 (comment)  ",2021-03-31 20:54:31,2021-03-31 21:06:32,1,1,1
Issue#5461 In...,cla: yes,,,"copybara-service: In... RELNOTES=n/a 



              The text was updated successfully, but these errors were encountered:
              ",2021-04-02 14:45:28,2021-04-02 15:31:33,0,0,0
Issue#5463 Use `@ParametricNullness` in the mainline just as CL 365809233 did in the backport.,cla: yes,,,copybara-service: Use @ParametricNullness in the mainline just as CL 365809233 did in the backport. RELNOTES=n/a  ,2021-04-03 12:17:30,2021-04-05 20:33:19,0,0,0
